,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country,quarantine_reason
0,1896,Athens,Aquatics,Swimming,Alfred Hajos,HUN,Men,100M Freestyle,Gold,Hungary,
1,1896,Athens,Aquatics,Swimming,Otto Herschmann,AUT,Men,100M Freestyle,Silver,Austria,
2,1896,Athens,Aquatics,Swimming,Dimitrios Drivas,GRE,Men,100M Freestyle For Sailors,Bronze,Greece,
3,1896,Athens,Aquatics,Swimming,Ioannis Malokinis,GRE,Men,100M Freestyle For Sailors,Gold,Greece,
4,1896,Athens,Aquatics,Swimming,Spiridon Chasapis,GRE,Men,100M Freestyle For Sailors,Silver,Greece,
5,1896,Athens,Aquatics,Swimming,Efstathios Chorophas,GRE,Men,1200M Freestyle,Bronze,Greece,
6,1896,Athens,Aquatics,Swimming,Alfred Hajos,HUN,Men,1200M Freestyle,Gold,Hungary,
7,1896,Athens,Aquatics,Swimming,Joannis Andreou,GRE,Men,1200M Freestyle,Silver,Greece,
8,1896,Athens,Aquatics,Swimming,Efstathios Chorophas,GRE,Men,400M Freestyle,Bronze,Greece,
9,1896,Athens,Aquatics,Swimming,Paul Neumann,AUT,Men,400M Freestyle,Gold,Austria,
10,1896,Athens,Aquatics,Swimming,Antonios Pepanos,GRE,Men,400M Freestyle,Silver,Greece,
11,1896,Athens,Athletics,Athletics,Francis Lane,USA,Men,100M,Bronze,United States,
12,1896,Athens,Athletics,Athletics,Alajos Szokolyi,HUN,Men,100M,Bronze,Hungary,
13,1896,Athens,Athletics,Athletics,Thomas Burke,USA,Men,100M,Gold,United States,
14,1896,Athens,Athletics,Athletics,Fritz Hofmann,GER,Men,100M,Silver,Germany,
15,1896,Athens,Athletics,Athletics,Thomas Curtis,USA,Men,110M Hurdles,Gold,United States,
16,1896,Athens,Athletics,Athletics,Grantley Goulding,GBR,Men,110M Hurdles,Silver,United Kingdom,
17,1896,Athens,Athletics,Athletics,Albin Lermusiaux,FRA,Men,1500M,Bronze,France,
18,1896,Athens,Athletics,Athletics,Edwin Flack,AUS,Men,1500M,Gold,Australia,
19,1896,Athens,Athletics,Athletics,Arthur Blake,USA,Men,1500M,Silver,United States,
20,1896,Athens,Athletics,Athletics,Charles Gmelin,GBR,Men,400M,Bronze,United Kingdom,
21,1896,Athens,Athletics,Athletics,Thomas Burke,USA,Men,400M,Gold,United States,
22,1896,Athens,Athletics,Athletics,Herbert Jamison,USA,Men,400M,Silver,United States,
23,1896,Athens,Athletics,Athletics,Dimitrios Golemis,GRE,Men,800M,Bronze,Greece,
24,1896,Athens,Athletics,Athletics,Edwin Flack,AUS,Men,800M,Gold,Australia,
